text_no_spaces;text_restored
около1;около 1
за1996;за 1996
продаживЯпонииАвстралии;продажи в Японии Австралии
годувыручка;году выручка
разработаннымсприменениемамериканских;разработанным с применением американских
MedicalSystems;Medical Systems
иLGSonyприобрела;и LG Sony приобрела
Изэтогоследует;Из этого следует
2014годавновь;2014 года вновь
Индустрияразвлечений;Индустрия развлечений
компанияпоменялаБНФряда;компания поменяла БНФ ряда
вномеребуква;в номере буква
директороввошлидванезависимых;директоров вошли два независимых
IBMвыпускала;IBM выпускала
изчиповSamsung;из чипов Samsung
представителямиXilinxадействующий;представителями Xilinx а действующий
обработкисложной;обработки сложной
8in1Ratcheting;8in1 Ratcheting
Вфеврале;В феврале
идрДжон;и др Джон
продвигаласьподмаркойSony;продвигалась под маркой Sony
последовательностьбайтитем;последовательность байт и тем
иподоговору;и по договору
концагода;конца года
нетолькополнуюреструктуризацию;не только полную реструктуризацию
являетсяоднойиз;является одной из
руководителемкомпанииявляетсядежурный;руководителем компании является дежурный
временимногиенезависимыеразработчики;времени многие независимые разработчики
наименованииAsusP5K;наименовании Asus P5K
проданоMurata;продано Murata
составилаза50млрд;составила за 50 млрд
GPUотвечаетзаотрисовку;GPU отвечает за отрисовку
годаЕвропейскаякомиссия;года Европейская комиссия
1995Великобритании1995Мексике;1995 Великобритании 1995 Мексике
покоторомупередаётсясигнал;по которому передаётся сигнал
часами;часам и
былодобавленослово;было добавлено слово
IndustrialPartners;Industrial Partners
A75Socket;A75 Socket
продуктрискованнымиотказалась;продукт рискованным и отказалась
илитературеЛитературнаяпремия;и литературе Литературная премия
долгоевремябыл;долгое время был
22маябританскаякомпания;22 мая британская компания
переходовпроцессорпытаетсяпредсказать;переходов процессор пытается предсказать
сушёнаярыбадаловозможность;сушёная рыба дало возможность
существенноевлияниена;существенное влияние на
посостояниюна2022;по состоянию на 2022
Differentсангл;Different с англ
млрддолларовна;млрд долларов на
докладподчеркнув;доклад подчеркнув
компаниейMicrosoftНекоторыекритикикакие;компанией Microsoft Некоторые критикикакие
достигнутосоглашениео;достигнуто соглашение о
Electronicsизвестнойкак;Electronics известной как
состояниюна;состоянию на
наHarmonyOS;на HarmonyOS
отозвалвсесмартфоны;отозвал все смартфоны
Ссылкиhuaweicomenофициальный;Ссылки huaweicomen официальный
компаниииего;компании и его
потерпелакрахкак;потерпела крах как
вкомпании;в компании
лабораториипотестированию;лаборатории по тестированию
компьютерыноутбукинаушники;компьютеры ноутбуки наушники
производствопроцессоров;производство процессоров
базеобразовательных;базе образовательных
успехуспособствовалиуспех;успеху способствовал и успех
очкисозданныев;очки созданные в
отгородкаВилистонаWilliston;от городка Вилистона Williston
Программныепродуктыдляофиса;Программные продукты для офиса
Foundationблаготворительнуюорганизацию;Foundation благотворительную организацию
CoLtdОсновные;Co Ltd Основные
1995Мексике1998Китае;1995 Мексике 1998 Китае
подбрендами;под брендами
средипрочихпродуктовболее;среди прочих продуктов более
составляетчутьболееполовины;составляет чуть более половины
вответ;в ответ
сотрудниковВ2021году;сотрудников В 2021 году
ввидеоигры;в видеоигры
тысячикитайских;тысячи китайских
временносамостоятельнойкомпаниейWOOX;временно самостоятельной компанией WOOX
млнвсчёт;млн в счёт
SCPH900xонасодержала;SCPH900x она содержала
вБеломдомеФедеральный;в Белом доме Федеральный
скомпьютерноймышью;с компьютерной мышью
компанияэкспортировалаiPhone;компания экспортировала iPhone
годуСкаллибылотправлен;году Скалли был отправлен
интернетмагазинахВмае2018;интернетмагазинах В мае 2018
такойфункциейкак;такой функцией как
такжеоснователеми;также основателем и
на71Нафоне;на 71 На фоне
меморандумо;меморандум о
PalacesИндияПооценкам;Palaces Индия По оценкам
занимаютсяконтрактные;занимаются контрактные
корпорацииMicrosoftновые;корпорации Microsoft новые
эффективнойналоговой;эффективной налоговой
нужной32битнойсистемойПродажи;нужной 32битной системой Продажи
компанииКимсказал;компании Ким сказал
телевизорсовстроеннойPlayStation;телевизор со встроенной PlayStation
AmazonRoboticsпроизводителяскладских;Amazon Robotics производителя складских
спомощьютехнологийискусственного;с помощью технологий искусственного
ЖКпанелеймониторовиТВ;ЖКпанелей мониторов и ТВ
толькооригинальностидиска;только оригинальности диска
летпослевыходаNES;лет после выхода NES
североамериканскоеподразделения;североамериканское подразделения
вбудущемсектор;в будущем сектор
до29октября2012;до 29 октября 2012
17человек;17 человек
Teslaдосрочнопогасила;Tesla досрочно погасила
также;так же
годубылосформированосовместное;году было сформировано совместное
японскомгороде;японском городе
Microsoftтребовалось;Microsoft требовалось
видеоболее;видео более
HKLimited;HK Limited
предоставитлицензиюна;предоставит лицензию на
быстрозавоевали;быстро завоевали
памятиОнтакжераспространяется;памяти Он также распространяется
2010годурабочие;2010 году рабочие
vanRiemsdijk;van Riemsdijk
в1975годукогда;в 1975 году когда
ане;а не
главагруппы;глава группы
ХотяMicrosoftранееи;Хотя Microsoft ранее и
компаниикорпорациии;компании корпорации и
сигналомощностиблока;сигнал о мощности блока
былдостигнут23;был достигнут 23
Segaпосозданиюдругой;Sega по созданию другой
Sonyнарынкецифровых;Sony на рынке цифровых
вСШАSuper;в США Super
в2021году;в 2021 году
свободныхплатежейи;свободных платежей и
вЯпонии70;в Японии 70
СсылкиОфициальныйсайткомпании;Ссылки Официальный сайт компании
программногообеспеченияСущественноповышает;программного обеспечения Существенно повышает
вЯпониисостоялся;в Японии состоялся
особенностейкоторыхбылсенсорный;особенностей которых был сенсорный
AppleInc;Apple Inc
британскимпроизводителемспортивныхавтомобилей;британским производителем спортивных автомобилей
мэраШанхаяиучредительного;мэра Шанхая и учредительного
миресдолей;мире с долей
вицепрезидентBoeingДайонУэйслер;вицепрезидент Boeing Дайон Уэйслер
AndersonDianeSony;Anderson Diane Sony
DonovanTristanReplayThe;Donovan Tristan Replay The
сериянетбуковEee;серия нетбуков Eee
Кимтакже;Ким также
SonyГлавные;Sony Главные
независимыйвицепредседатель;независимый вицепредседатель
диагностическомоборудовании;диагностическом оборудовании
президентигенеральныйдиректор;президент и генеральный директор
директорас;директора с
Менеджерукорпорациив;Менеджеру корпорации в
ещёиголова;ещё и голова
контентадругихпроизводителейпредоставление;контента других производителей предоставление
RadeonXpress1100for;Radeon Xpress 1100 for
напримерпазлTen;например пазл Ten
операционныйдиректорCOOКеван;операционный директор COO Кеван
двамиллионаединицза;два миллиона единиц за
ноутбуковс1990хгодов;ноутбуков с 1990х годов
GeodeCapitalManagement;Geode Capital Management
отдельныевиды;отдельные виды
отозваныВ;отозваны В
вНьюЙорке;в НьюЙорке
постояннымконтролемруководства;постоянным контролем руководства
энергииПо;энергии По
открытыйдоступ;открытый доступ
Boyтакие;Boy такие
былполностьюсконцентрированна;был полностью сконцентрирован на
такимобразом;таким образом
междуIntelиNEC;между Intel и NEC
Сколковопрошлабольшая;Сколково прошла большая
посравнениюсаналогичным;по сравнению с аналогичным
типаВзломщиккодов;типа Взломщик кодов
чтоМаскиспользовалдля;что Маск использовал для
подразделенияSamsungИнСу;подразделения Samsung Ин Су
ZEVсогласнокоторым;ZEV согласно которым
идртакжеInternet;и др также Internet
иSCPH750x;и SCPH750x
Япониикомпания;Японии компания
доминировалатакже;доминировала также
12Pro;12 Pro
стилиSamsungTouchWiz;стили Samsung TouchWiz
покупкаMicrosoft;покупка Microsoft
Companies75BlackRock;Companies 75 BlackRock
EmployeesatMicrosoftв;Employees at Microsoft в
годуApple;году Apple
контроллереразмещались;контроллере размещались
единицейсо;единицей со
ЖКэкраниадаптердля;ЖКэкран и адаптер для
метаМетаразговорноеот;мета Мета разговорное от
MaxSeriesЧипсеты;Max Series Чипсеты
нетолькоконкуренцией;не только конкуренцией
нуляРешениеправительствастраны;нуля Решение правительства страны
точтокомпания;то что компания
былаанонсирована7;была анонсирована 7
изкрупнейшихсекторовSamsung;из крупнейших секторов Samsung
программноеобеспечениеуже;программное обеспечение уже
былпроизведёнпервыйвыпуск;был произведён первый выпуск
ЮжнаяКореякоторыепроизводят;Южная Корея которые производят
необоснованнооткладывая;необоснованно откладывая
Метадепартаментвцентре;Мета департамент в центре
SonyзаручиласьподдержкойNamco;Sony заручилась поддержкой Namco
местонакрупнейшемв;место на крупнейшем в
посколькуонуже;поскольку он уже
вособомяпонском;в особом японском
AMDInc;AMD Inc
месяц1февралябыло;месяц 1 февраля было
НавыставкеCES2021;На выставке CES 2021
производительэлектронныхламп;производитель электронных ламп
называютсяСпонсорскаядеятельность;называются Спонсорская деятельность
атакжеосуществляет;а также осуществляет
в25;в 25
нарабочихместах;на рабочих местах
100Sony;100 Sony
компаниявЮжной;компания в Южной
решенийумнойбытовой;решений умной бытовой
российскихприложений;российских приложений
18февраля2012года;18 февраля 2012 года
transformedandlitpolygons;transformed and lit polygons
влезалДлякоммивояжёровкомпания;влезал Для коммивояжёров компания
играминапримерRidgeRacer;играми например Ridge Racer
Corporationа;Corporation а
выпускигровойприставкиXbox;выпуск игровой приставки Xbox
браузерыконкурентов;браузеры конкурентов
Computerответственныйзамаркетинг;Computer ответственный за маркетинг
членкоманды;член команды
компанииNokia;компании Nokia
от6до;от 6 до
удалитьличнуюинформацию;удалить личную информацию
NextGenerationBathFuture;Next Generation Bath Future
дальнейшемвыпуск;дальнейшем выпуск
совместныйпроектITкорпорациии;совместный проект ITкорпорации и
годдодебютаPlayStation;год до дебюта PlayStation
отпредставителяштата;от представителя штата
иналичию;и наличию
КомпанияTesla;Компания Tesla
ГумпэйЁкои;Гумпэй Ёкои
вышеназванныхкомпаний;вышеназванных компаний
переведёниз;переведён из
игрв;игр в
2011годуEricsson;2011 году Ericsson
органайзерови;органайзеров и
пятоеместов;пятое место в
тдЛизаП;т д Лиза П
Bayonetta2ZombiUи;Bayonetta 2 ZombiU и
2000хгодовкомпания;2000х годов компания
окружающейсреды;окружающей среды
российскогопредставительства;российского представительства
ценныекомпонентыкоторыеможно;ценные компоненты которые можно
Robotвзаимодействие;Robot взаимодействие
двигалсянаавтопилотено;двигался на автопилоте но
иматериальнотехническуюподдержку32;и материальнотехническую поддержку 32
иэлектрокаровСмтакже;и электрокаров См также
июня2023года;июня 2023 года
eXtremePerformanceSystem;eXtreme Performance System
ифабрикациидоказательствпо;и фабрикации доказательств по
разрабатываемыеисключительнопо;разрабатываемые исключительно по
LenovoCanadaIncКанада;Lenovo Canada Inc Канада
профсоюзGLEAMGay;профсоюз GLEAM Gay
компаниив19791997;компании в 19791997
MorganStanleyи;Morgan Stanley и
предложенцелыйспектрреформ;предложен целый спектр реформ
летом2023годаПервый;летом 2023 года Первый
фабрикуГумпэйЁкои;фабрику Гумпэй Ёкои
RidgeRacerзапускались;Ridge Racer запускались
SonyEurope;Sony Europe
LoveTester;Love Tester
позжеMFTBCEFusoVision;позже MFTBC EFuso Vision
Segaстолкнувшись;Sega столкнувшись
начало2023годапринадлежало;начало 2023 года принадлежало
лицензийнамузыкуи;лицензий на музыку и
годаНиколай;года Николай
годабылавыпущенаWindows;года была выпущена Windows
виновнойвдвух;виновной в двух
обсудитьболеевыгодный;обсудить более выгодный
промышленностиSamsungпорегионам;промышленности Samsung по регионам
снизилисьSonyпоставила135;снизились Sony поставила 135
портEthernetоткрывалавозможность;порт Ethernet открывала возможность
механизмыприводакомпактдисков;механизмы привода компактдисков
тогокак;того как
мультимедийнойэнциклопедииEncarta;мультимедийной энциклопедии Encarta
началасогласились;начала согласились
былотделёнвсамостоятельную;был отделён в самостоятельную
ZEVсогласно;ZEV согласно
тактовойчастотой3386;тактовой частотой 3386
тольковнутриЮжной;только внутри Южной
иMario;и Mario
компьютераВпечатлившиськомпания;компьютера Впечатлившись компания
в2013годуобогнав;в 2013 году обогнав
середины2000х;середины 2000х
оборудованияHuaweiTechInvestment;оборудования Huawei Tech Investment
этомконтрольв;этом контроль в
Sonyпоставила135млн;Sony поставила 135 млн
промышленномудизайнуподчиняетсяДжеффу;промышленному дизайну подчиняется Джеффу
обвиняяеёвзлоупотреблении;обвиняя её в злоупотреблении
A24выйдет;A24 выйдет
формыПриставка;формы Приставка
Sabertoothсерияотличающаяся;Sabertooth серия отличающаяся
июнеуйдётвотставку;июне уйдёт в отставку
общейплатформыдля;общей платформы для
упоминалиськонкретныепроизводители;упоминались конкретные производители
ThinkCentreлинейка;ThinkCentre линейка
2018годаXiaomi;2018 года Xiaomi
этокрупнейшеесобытие;это крупнейшее событие
чипеКутараги;чипе Кутараги
былразработанфирмойHiSilicon;был разработан фирмой HiSilicon
патентовкоторыезатрагиваюткодирование;патентов которые затрагивают кодирование
годабольшинство;года большинство
данныемогли;данные могли
IIIпривели;III привели
дляигр;для игр
созданаиздательскаядочерняякомпания;создана издательская дочерняя компания
PSoneпримернонатреть;PSone примерно на треть
фирмазвукозаписи;фирма звукозаписи
ИндииДелоМэн;Индии Дело Мэн
Ихиспользуютдляпроизводства;Их используют для производства
вразличныхигровыхизданиях;в различных игровых изданиях
течениедвухлетПозже;течение двух лет Позже
сиюля;с июля
2010егоды;2010е годы
натрассахСШАначало;на трассах США начало
MaextroJACВ;Maextro JAC В
контрактнымипроизводителямиимеютсясоглашения;контрактными производителями имеются соглашения
имеютсясоглашенияо;имеются соглашения о
программодновременноимел32битную;программ одновременно имел 32битную
иSony;и Sony
консолиSwitchвсентябре;консоли Switch в сентябре
предложилMicroSoftотmicrocomputer;предложил MicroSoft от microcomputer
SuperNintendoEntertainmentSystem;Super Nintendo Entertainment System
долларовДругая;долларов Другая
GarryTrinder;Garry Trinder
качествеофициальногоспонсораОлимпийских;качестве официального спонсора Олимпийских
AntialiasingЗащитаоткопирования;Antialiasing Защита от копирования
чтовдвое;что вдвое
3еместо;3е место
десятилетиякомпанияфокусировалась;десятилетия компания фокусировалась
Корейскиереформаторы;Корейские реформаторы
ЭВМстоившиенесколькотысяч;ЭВМ стоившие несколько тысяч
2020года;2020 года
ВладимируЗеленскомуMicrosoftне;Владимиру Зеленскому Microsoft не
магазины190млрд;магазины 190 млрд
NECВдокладе;NEC В докладе
илиспомощьюслужбы;или с помощью службы
Компанияоснована;Компания основана
1990годкомпаниязакончила;1990 год компания закончила
Liteспособнуюгенерировать;Lite способную генерировать
ЕврокомиссияпредъявилакорпорацииMicrosoft;Еврокомиссия предъявила корпорации Microsoft
безналичиясамой;без наличия самой
смартфонXiaomiRedmiPro;смартфон Xiaomi Redmi Pro
этомуконгрессменыСША22;этому конгрессмены США 22
наAudioCD;на AudioCD
уPlayStation2хотя;у PlayStation 2 хотя
размере4млрдюаней;размере 4 млрд юаней
выделеновсамостоятельную;выделено в самостоятельную
выпустиланесколькосамых;выпустила несколько самых
законченовянваре2017;закончено в январе 2017
дешевлечем;дешевле чем
атакжелинейки;а также линейки
попоглощению;по поглощению
GroupInc212Causeway;Group Inc 212 Causeway
былапоказана;была показана
товароввавтоматическом;товаров в автоматическом
Аткинсонинженер;Аткинсон инженер
разновидностиигральныхкартКарута;разновидности игральных карт Карута
500млрд;500 млрд
миллионовдолларов;миллионов долларов
долларовVolcanoCorporation27;долларов Volcano Corporation 27
дисковогодополнения;дискового дополнения
Приэтом;При этом
мире5сентября2017;мире 5 сентября 2017
многонедоработоки;много недоработок и
правонаакции;право на акции
всебя;в себя
искпротивIntel;иск против Intel
раскладушкикоторый;раскладушки который
компактдисковнадкоторойон;компактдисков над которой он
Швейцарияпроизводство;Швейцария производство
2025годаTesla;2025 года Tesla
осуществлятьNintendo;осуществлять Nintendo
врамкахглобального;в рамках глобального
подготовитьбольшестартовыхигр;подготовить больше стартовых игр
исчистымAndroid;и с чистым Android
иDreamcastно;и Dreamcast но
президентаNintendoofAmerica;президента Nintendo of America
Китайскойакадемии;Китайской академии
цельюповысить;целью повысить
произвелана;произвела на
тотмоментотзыву;тот момент отзыву
приводыкулеры;приводы кулеры
1000TeslaRoadsterбыли;1000 Tesla Roadster были
своейпервойприставкиPlayStation;своей первой приставки PlayStation
блокировкеTelegramканаловбелорусскогопротестного;блокировке Telegramканалов белорусского протестного
памятииCDпроигрывателеми;памяти и CDпроигрывателем и
совстроенным;со встроенным
нееё;не её
БуквыDSвназвании;Буквы DS в названии
МорозовРоман;Морозов Роман
HiSiliconTechnologies;HiSilicon Technologies
которыепозволяли;которые позволяли
новой64битнойигровой;новой 64битной игровой
иблизкоезнакомствосо;и близкое знакомство со
компанияоснованная;компания основанная
с1996года;с 1996 года
в2018;в 2018
впользуГейтсаАллен;в пользу Гейтса Аллен
полученныекомпаниейэкземплярыPlayStation;полученные компанией экземпляры PlayStation
крупныхинвестиционныхпланах;крупных инвестиционных планах
годаXiaomiобъявила;года Xiaomi объявила
своиизобретения;свои изобретения
АрабскихЭмиратах;Арабских Эмиратах
РутКоттер;Рут Коттер
небыло;не было
Incпосколькуобозреватели;Inc поскольку обозреватели
итак;и так
имобильныхтелефоновдистрибуция;и мобильных телефонов дистрибуция
чистойэнергиидоступнойсегодня;чистой энергии доступной сегодня
набазесвоейоперационной;на базе своей операционной
своегопериода;своего периода
услугвРоссииоднако;услуг в России однако
первойприставки;первой приставки
дляподключения;для подключения
всегомираЭтот;всего мира Этот
нигдетакиекакActiveX;нигде такие как ActiveX
BASICбыллицензированкомпаниям;BASIC был лицензирован компаниям
использованияприложенийиих;использования приложений и их
корпорацииЛи;корпорации Ли
концеоктября2021года;конце октября 2021 года
поддержалэту;поддержал эту
решающимдляраннегоэтапа;решающим для раннего этапа
композитораиливозрождение;композитора или возрождение
LabsLtd;Labs Ltd
видеоигрыонимолодеюти;видеоигры они молодеют и
Пенсильванииранеевозглавляла;Пенсильвании ранее возглавляла
AppleвРоссиюбыла;Apple в Россию была
willoperateslower;will operate slower
2023года;2023 года
иаргона;и аргона
ассемблеркомпоновщикиотладчик;ассемблер компоновщик и отладчик
годукак;году как
ипоглощениям;и поглощениям
игрыУнихуставала;игры У них уставала
целикомфинансирует;целиком финансирует
chipcompany;chip company
2002году;2002 году
началапродажSaturnи;начала продаж Saturn и
MMCDУчастиеSMEJоказалось;MMCD Участие SMEJ оказалось
CollegeFuturesFoundationРональд;College Futures Foundation Рональд
вЛентапедии;в Лентапедии
компаниираспечатанныйРобертом;компании распечатанный Робертом
предприятиепод;предприятие под
годуи;году и
лишениюпотребителейправа;лишению потребителей права
мая2021годастало;мая 2021 года стало
иероглифамиСвой;иероглифами Свой
взрослыхКрометого;взрослых Кроме того
виндустриик;в индустрии к
продукцииОблачныеуслуги;продукции Облачные услуги
переработаннаяверсия;переработанная версия
nМоритавозглавлял;n Морита возглавлял
растеризациив;растеризации в
годахГордон;годах Гордон
идентификаторыустройствIMEI;идентификаторы устройств IMEI
являетсятехническимпартнёромЦСК;является техническим партнёром ЦСК
когдау;когда у
соперникомприставке;соперником приставке
заказаНа;заказа На
AnniversaryCollection;Anniversary Collection
Шанхаепозволиткомпаниинарастить;Шанхае позволит компании нарастить
началсяпериодбыстрого;начался период быстрого
годапо;года по
сентября1995года;сентября 1995 года
компьютерысерверыи;компьютеры серверы и
разрабатываетсяОСHarmony;разрабатывается ОС Harmony
backendпровайдерауслугдлясоздания;backendпровайдера услуг для создания
Гигафабрикиэтокрупнейшее;Гигафабрики это крупнейшее
круговогообзораСудебные;кругового обзора Судебные
годаучёныеПринстонского;года учёные Принстонского
январе2018года;январе 2018 года
полностьюсовместимыеспроцессорами;полностью совместимые с процессорами
спискекрупнейшихпубличных;списке крупнейших публичных
рядуметодовв;ряду методов в
Подразделениевнесло;Подразделение внесло
программыПослетогокак;программы После того как
годупрограммаполучила;году программа получила
неплатят;не платят
технологию0180;технологию 0180
Средиигрвышедшихна;Среди игр вышедших на
серверовсо;серверов со
нато;на то
иFairchild;и Fairchild
акцийкомпанииСатьяНаделла;акций компании Сатья Наделла
сISBN9785604370162;с ISBN 9785604370162
1985году;1985 году
пообъёмувыручкиПо;по объёму выручки По
игрыидоконца;игры и до конца
Optimusи;Optimus и
ставшихформально;ставших формально
водителюиавтономного;водителю и автономного
шедеврыдизайнерскоймысли;шедевры дизайнерской мысли
поисковойсистемыBingоснащённые;поисковой системы Bing оснащённые
времениразработаетонлайнверсиюсамого;времени разработает онлайнверсию самого
чтооперационнаясистема;что операционная система
Wolinстарший;Wolin старший
егоктурникетам;его к турникетам
в1988годукогда;в 1988 году когда
исталеёпредседателем;и стал её председателем
годуВ;году В
разумноеинедискриминационноелицензирование;разумное и недискриминационное лицензирование
ProdutosEletronicosLtdaБразилия;Produtos Eletronicos Ltda Бразилия
представилашестоепоколение;представила шестое поколение
нечерездистрибьютора;не через дистрибьютора
вчислелучших;в числе лучших
электроннуюпромышленностьЭлектроннаяпромышленность;электронную промышленность Электронная промышленность
KindleFireТакже;Kindle Fire Также
некомплектующиеТакже;не комплектующие Также
индустрияслишком;индустрия слишком
Вавгусте2012она;В августе 2012 она
MiNotebookAir;Mi Notebook Air
ГовардЛинкольн;Говард Линкольн
далучшеИтогом;да лучше Итогом
буквыуказанамодельчипсета;буквы указана модель чипсета
ВотчётеOpenMarkets;В отчёте Open Markets
генеральныйдиректор;генеральный директор
тотжепериод;тот же период
KingsОбозревателивысказали;Kings Обозреватели высказали
ушлаиз;ушла из
ОсновныеподразделенияIntelligent;Основные подразделения Intelligent
x86MMXEnhanced;x86 MMX Enhanced
журналаBusinessWeekв2010;журнала BusinessWeek в 2010
подходвразработкеигр;подход в разработке игр
Lenovoи;Lenovo и
СШАНа8июля;США На 8 июля
в1915годуначат;в 1915 году начат
1999годукназванию;1999 году к названию
намногоменьше;намного меньше
увидевчтоего;увидев что его
InteractiveEntertainment;Interactive Entertainment
XiaomiMiMoоткрытая;Xiaomi MiMo открытая
изнихбылиThe;из них были The
шифрованияинформациябудет;шифрования информация будет
272автомобиляФинансыи;272 автомобиля Финансы и
вконце2011;в конце 2011
игратакжеограничения;игр а также ограничения
2012году;2012 году
стоимостьлицензионных;стоимость лицензионных
изних585принадлежало;из них 585 принадлежало
10тысяч;10 тысяч
Seriesсерия;Series серия
IPyottчлен;I Pyott член
иззавысокойцены;изза высокой цены
местозаймёт;место займёт
любойдругой;любой другой
Amazonполучитэксклюзивные;Amazon получит эксклюзивные
ДелЙокамвицепрезидент;Дел Йокам вицепрезидент
чтоеё;что её
КынХе;Кын Хе
Филипса19611971;Филипса 19611971
годусоставила;году составила
производстваираспространения;производства и распространения
долларов14марта2019;долларов 14 марта 2019
былаподкрепленатеснымиотношениями;была подкреплена тесными отношениями
компанияпредставила;компания представила
сегментовв;сегментов в
болеесотникомпаний;более сотни компаний
годукакчасть;году как часть
PlayStationунеёне;PlayStation у неё не
Dellвыпустиласвой;Dell выпустила свой
Boonstra20012011;Boonstra 20012011
сигналапротоколызащищённой;сигнала протоколы защищённой
Общийвид;Общий вид
iPodiPhone;iPod iPhone
Socket775;Socket 775
большуюрольвдеятельности;большую роль в деятельности
ориентированна;ориентирован на
потеснилаAppleиподнялась;потеснила Apple и поднялась
FiveYearsatthe;Five Years at the
WihaXiaoAi;Wiha XiaoAi
Jtunпалл;Jtun палл
главаотделапоархитектуре;глава отдела по архитектуре
Advisors31GeodeCapital;Advisors 31 Geode Capital
электроннойпромышленности;электронной промышленности
вконструктивеSECC2;в конструктиве SECC 2
сталиBallParachute;стали Ball Parachute
Отправкаданныхвкоторые;Отправка данных в которые
2009по;2009 по
ктелевизору;к телевизору
нажалобуподаннуюкомпанией;на жалобу поданную компанией
Sonyв;Sony в
такжепрезидентIntermountainHealthcare;также президент Intermountain Healthcare
ЛиКлоуОднаиз;Ли Клоу Одна из
разработчикомпрограммногообеспечения;разработчиком программного обеспечения
16битнуюприставкуSuper;16битную приставку Super
заводпопроизводству;завод по производству
создадутсовместноепредприятие;создадут совместное предприятие
млрдчтона2436;млрд что на 2436
иигрушкиЧастьсредств;и игрушки Часть средств
pISBN;p ISBN
микроархитектурытакжепоявилисьсерверные;микроархитектуры также появились серверные
за54;за 54
рядавтомобилейTeslaTesla;ряд автомобилей Tesla Tesla
промышленномудизайнуподчиняется;промышленному дизайну подчиняется
ПэнSpencerPan;Пэн Spencer Pan
дляинвестицийив;для инвестиций и в
еёраспределениепо;её распределение по
дляподключенияконтроллеров4;для подключения контроллеров 4
этапапосле;этапа после
загрязнениявоздуха;загрязнения воздуха
внедрившийметодкорпоративногоуправления;внедривший метод корпоративного управления
годукомпанияначала;году компания начала
честьэтогособытия;честь этого события
этавозможность;эта возможность
вотрасливнедренаидея;в отрасли внедрена идея
прочеепредоставилаНевадаВо;прочее предоставила Невада Во
игрSNESпри;игр SNES при
серияделюксотличается;серия делюкс отличается
последующихпоколений;последующих поколений
порыночнойкапитализациикоторая;по рыночной капитализации которая
Communicationsпользуются;Communications пользуются
дешёвыманалогоммоделиSpot;дешёвым аналогом модели Spot
такимкомпанияперепродаётчасть;таким компания перепродаёт часть
31еместо;31е место
Nintendoкогдау;Nintendo когда у
чтодолюAMD;что долю AMD
системуна;систему на
млнтранзисторов;млн транзисторов
чтоеё;что её
октября2012;октября 2012
всвязис;в связи с
